"","freq","mean prob","sample size necessary","passes"
"NOMcom CONcoo NOMcom",786,0.00209659283970276,1704.0486626889,FALSE
"DETdef NOMcom PRE.DETdef",793,0.00229131076462073,1653.53044482052,FALSE
"CONsub PROper PROper",757,0.00209706773278132,2045.70647115391,FALSE
"ADVneg PROper VERcjg",729,0.00194253092336832,1175.88122843534,TRUE
"PONfrt PROper VERcjg",803,0.00242494059627713,1178.70298250754,TRUE
"CONcoo CONsub PROper",784,0.00231547845945285,1058.8842508792,TRUE
"PONfrt CONcoo VERcjg",781,0.00263421229205226,481.579416718123,TRUE
"NOMcom DETpos NOMcom",794,0.00231076299289435,1831.50473237982,FALSE
"VERcjg ADVgen PRE",763,0.00188512287726382,2535.54684395142,FALSE
"PRE.DETdef NOMcom PONfrt",762,0.00226557836004365,1299.13573883626,FALSE
"VERcjg NOMcom PRE",736,0.00214819530342885,1542.50912529904,FALSE
"NOMcom VERcjg ADVgen",733,0.00192571177062321,1111.23118869881,TRUE
"NOMcom CONcoo ADVgen",746,0.00189429823416383,995.658373788,TRUE
"ADVgen VERcjg DETdef",729,0.00193071771687914,1469.22305942085,FALSE
"CONcoo PRE NOMcom",701,0.00180850838336549,1188.8154846631,TRUE
"VERcjg ADVgen ADJqua",694,0.00195624079586898,630.098950508405,TRUE
"DETind DETdef NOMcom",732,0.00204835119923903,1599.75152828308,FALSE
"VERinf PONfrt CONcoo",643,0.00166419883411744,1797.03629718272,FALSE
"PRE PROdem CONsub",687,0.00172830564214782,1961.87916906356,FALSE
"NOMcom CONcoo VERcjg",709,0.00240243009220056,318.024461240604,TRUE
"PONfbl PROadv VERcjg",691,0.00183811171476253,1097.52086482547,TRUE
"DETpos NOMcom PRE",688,0.00180229658051352,2208.82836826046,FALSE
"PROper PONfbl PROadv",669,0.00177026893609526,1083.87289788067,TRUE
"PONfrt ADVgen PROper",666,0.00169167606732039,1629.8615179853,FALSE
"PONfrt ADVgen CONsub",651,0.00160463561032876,1445.71737019243,FALSE
"CONcoo DETpos NOMcom",679,0.00184035290364476,1486.86598189299,FALSE
"PONfrt CONsub PROper",656,0.00192364026565903,593.060045172142,TRUE
"NOMcom CONcoo DETdef",656,0.00198486661377953,2175.62104690125,FALSE
"PROrel ADVgen VERcjg",632,0.00156767097271644,1825.96510438305,FALSE
"NOMcom VERcjg PONfrt",619,0.00164960333981363,670.548545582708,TRUE
"ADVgen VERcjg PONfrt",635,0.00158612754860148,777.9556543151,TRUE
"ADJqua NOMcom PROrel",606,0.00163082838401825,981.059422107744,TRUE
"PONfrt DETdef NOMcom",626,0.00181243514739766,985.477940118586,TRUE
"VERcjg ADVgen ADVgen",610,0.00155736395355783,1190.41387974729,TRUE
"ADVgen VERcjg ADVgen",601,0.00137558949741804,1407.07177050276,FALSE
"CONcoo VERcjg PRE",624,0.00202614624871924,768.970445972419,TRUE
"NOMcom CONsub PROper",568,0.00159655434457847,1676.26977889544,FALSE
"NOMcom PONfbl ADVgen",596,0.00138010024680938,825.804190754085,TRUE
"VERcjg PONfrt ADVgen",601,0.00158434910557722,1513.47901395507,FALSE
"DETdef NOMcom PROper",608,0.00187038940935213,484.829445367739,TRUE
"PONfbl ADVgen VERcjg",593,0.00147824984637811,877.961661462558,TRUE
"ADVneg VERcjg ADVneg",570,0.00149947469191919,1374.07236656456,FALSE
"PONfbl PROper PROper",595,0.00143418112121553,798.822690542871,TRUE
"VERcjg ADVgen CONsub",537,0.00148209557341827,2933.00410757831,FALSE
"PRE PROper PONfrt",584,0.00173571001506811,1374.64707035368,FALSE
"NOMcom ADJqua NOMcom",582,0.00164669099789456,1066.11088808774,TRUE
"VERcjg VERinf PRE",540,0.00151062343226225,1976.54424246557,FALSE
"NOMcom PONfrt PRE",518,0.00137928673430262,2572.20960709434,FALSE
"VERcjg ADVgen VERppe",549,0.00153391976670787,1868.11660810339,FALSE
"ADJqua NOMcom PONfbl",559,0.00145582308759001,650.518240651253,TRUE
"VERcjg VERppe CONcoo",550,0.00146288246281756,1397.71923679069,FALSE
"NOMcom DETdef NOMcom",550,0.00157758246103069,1556.08259856679,FALSE
"PRE.DETdef ADJqua NOMcom",555,0.0013112961363984,1308.89320797213,FALSE
"PROper VERcjg ADJqua",506,0.00147795570473145,1788.92279090733,FALSE
"PROper VERcjg PROper",510,0.00137041322086913,1791.04717582208,FALSE
"DETpos NOMcom PONfbl",520,0.00127658107070497,688.723609998609,TRUE
"DETind NOMcom PONfrt",511,0.00135366198318501,1261.44769826585,FALSE
"PONfrt ADJqua NOMcom",521,0.00173634572602656,778.496095976148,TRUE
"NOMcom PRE PROper",491,0.00148647391941793,1781.92984410569,FALSE
"ADJqua PONfrt CONcoo",500,0.00153277459091859,1683.27164622392,FALSE
"VERcjg NOMcom PONfrt",488,0.00133126631005987,1602.55256162719,FALSE
"NOMcom PONfrt PROper",492,0.00143910698337808,2223.73224259315,FALSE
"VERcjg VERinf PONfrt",453,0.00120044705375934,2530.1399286528,FALSE
"VERppe PRE NOMcom",488,0.0013151925775546,1928.47324594482,FALSE
"PROdem PROrel PROper",482,0.00133692023849611,1422.89937934731,FALSE
"VERcjg PRE ADJqua",496,0.00131673756839606,1071.80018828255,TRUE
"ADJqua NOMcom PROper",496,0.0014504846318741,907.078169464083,TRUE
"NOMcom PRE VERinf",474,0.00121231853229746,1845.70779215437,FALSE
"PRE DETdef ADJqua",496,0.00120077952919992,809.099818677831,TRUE
"VERcjg DETndf NOMcom",476,0.00137139624365851,396.311019033392,TRUE
"DETdef NOMcom ADVgen",465,0.00112278566174783,761.26214348365,TRUE
"PRE VERinf PONfrt",459,0.00121754823433637,2071.36112480339,FALSE
"PRE PROdem PROrel",470,0.00119291611755383,2086.71942382298,FALSE
"DETpos ADJqua NOMcom",485,0.00126238054153927,1075.82461689347,TRUE
"NOMcom ADVgen VERcjg",438,0.00107885662039477,755.671410255766,TRUE
"PONfrt PRE PROdem",474,0.00129538179911298,1254.83054173163,FALSE
"VERcjg DETind NOMcom",458,0.00126004189002026,2688.32936047728,FALSE
"ADVgen VERcjg VERppe",454,0.00107175026649166,1615.165451983,FALSE
"PROper VERcjg PONfbl",468,0.00122528751628925,1909.55683228909,FALSE
"NOMcom PONfrt NOMcom",441,0.00128830624553157,1479.6943499123,FALSE
"PONfrt DETcar PONfrt",455,0.00126002329242268,1105.37878845594,TRUE
"VERcjg CONsub PONfbl",471,0.00106142602618637,1176.60921270649,TRUE
"ADVgen VERcjg PROper",438,0.00118725428429469,1345.49548982859,FALSE
"NOMcom PROrel ADVgen",445,0.00106342549242557,1589.66128544728,FALSE
"ADVgen VERcjg NOMcom",437,0.00114400818237679,1845.16731179549,FALSE
"CONcoo PRE PROdem",434,0.00113180150707461,1691.39121592133,FALSE
"VERcjg NOMcom CONcoo",442,0.00121962280357919,2563.09377189266,FALSE
"PROrel PONfbl PROper",453,0.00107284207470196,876.963228559122,TRUE
"CONsub PROper ADVneg",407,0.00118487684358508,971.653747939932,TRUE
"PONfbl CONcoo ADVgen",440,0.000972130027511206,582.112857082225,TRUE
"NOMcom VERcjg NOMcom",426,0.00125652269003501,1571.66711342343,FALSE
"PROper VERcjg DETpos",433,0.00118020067240885,864.544984843931,TRUE
"ADVgen PONfrt CONcoo",427,0.00120405206712978,2325.40951214683,FALSE
"PRE NOMcom PONfbl",431,0.00104743081796079,1466.85840454172,FALSE
"DETdef NOMcom ADJqua",429,0.0014019493746381,282.147116260784,TRUE
"PRE.DETdef NOMcom PRE",424,0.00121995240114276,1946.22057483116,FALSE
"ADVgen PRE NOMcom",401,0.00105886712229227,2480.39368457884,FALSE
"PROper PROadv VERcjg",395,0.000961177114948744,1758.99484224933,FALSE
"VERinf DETdef NOMcom",427,0.00118805018221254,2829.03621437165,FALSE
"VERcjg DETdef ADJqua",420,0.00104251502158444,1373.24724288348,FALSE
"NOMcom PONfrt DETdef",416,0.0011621734591116,608.53450458282,TRUE
"ADVgen VERcjg CONsub",397,0.000944550950270305,1225.43633782933,TRUE
"PRE NOMcom VERcjg",368,0.000953049043186332,2792.58521638274,FALSE
"PROper VERcjg VERcjg",383,0.00110476905180109,2416.96013133593,FALSE
"PROrel VERcjg PRE",381,0.00111264086622582,880.685400538063,TRUE
"CONcoo VERcjg ADVgen",401,0.00126632398967775,975.904233163411,TRUE
"VERinf CONcoo VERinf",402,0.00095974897322813,908.475958959688,TRUE
"CONsub PROdem VERcjg",399,0.00101459816757679,1848.18255539915,FALSE
"VERppe CONcoo VERppe",407,0.00108730000668356,915.044113726783,TRUE
"CONcoo VERcjg PONfrt",403,0.00124226933200726,1108.26237928169,TRUE
"PROper VERcjg PRE.DETdef",382,0.00108727561121442,1752.55010121526,FALSE
"DETdem NOMcom VERcjg",388,0.000976670379521976,1772.95845841401,FALSE
"ADVgen VERcjg ADJqua",391,0.00104895957311924,882.152439546193,TRUE
"NOMcom CONsub PONfbl",389,0.000901113829510703,1469.50275284798,FALSE
"PRE NOMcom PROrel",350,0.000929438982462275,2304.97161800842,FALSE
"DETpos NOMcom ADVgen",381,0.000958058330280895,1898.50856396576,FALSE
"NOMcom PONfrt VERcjg",375,0.00105569388718146,2233.08904925603,FALSE
