Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
Brice,0,0,0,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Caamelot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cacavius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Calabre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Calitone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caphse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caradigan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carthage,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cassius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cathapan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Caton,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celsus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesaire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cesar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chartres,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemelaus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cholomaide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cilicie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clarus,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudiomas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleopha,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cologne,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Condé,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conrad,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Constance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Constantin,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Constantinople,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Corinthe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crescent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Crist,0,18,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,3
Crobe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cupersane,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cyparissus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cyprien,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyrene,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyrenenses,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
César,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DETrel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Damnedeu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Daniel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diane,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Dieudonné,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
Dioscori,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Edesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Egypte,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Elisabeth,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Elye,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engignior,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ernou,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
Escauc,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Espagne,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espire,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Estiene,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0
Ethyopie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucherius,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eudoxius,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Eufamianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Eufrosine,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eusebius,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eustache,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eustaice,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Euvagius,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evanchius,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evitius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Excorande,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Felix,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flore,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Florence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Florentin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,0,4,0,1,0,0,0,3,0,9,0,0,0,0,0,0,0,0
Gallus,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Garone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Garre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gascoigne,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Gauchier,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Getron,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Gile,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
Godin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Gracien,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grece,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0
Gregoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Grimoarz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hilaire,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Honoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Honoré,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Hydebre,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Hylarion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jehan,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0
Jerome,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0
Jerusalem,0,0,0,3,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Jesu,0,15,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jhesu,0,0,0,0,0,0,0,3,0,31,0,11,0,0,0,3,0,3
Job,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jogonse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jorge,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Joseph,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Judas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jupiter,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Justien,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Justinien,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jüif,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lapres,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Latran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laudesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lazare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
