"pos";"F";"00_Ano_Leg-A_Ap_Ev_Dis_Pierre1.decolumnized";"01_Ano_Leg-A_Ap_NA_Vie_Pierre2.decolumnized";"02_Ano_Leg-A_Ap_NA_Pas_Paul.decolumnized";"03_Ano_Leg-A_Ap_NA_Mar_Jean.decolumnized";"04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev.decolumnized";"05_Ano_Leg-A_Ap_NA_Vie_Jacques.decolumnized";"06_Ano_Leg-A_Ap_NA_Vie_Matthieu.decolumnized";"07_Ano_Leg-A_Ap_NA_Vie_SimonJude.decolumnized";"08_Ano_Leg-A_Ap_NA_Vie_Philippe.decolumnized";"09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur.decolumnized";"10_Ano_Leg-A_Ap_NA_Vie_Barthelemy.decolumnized";"11_Ano_Leg-A_Ap_NA_Vie_Marc.decolumnized";"12_Ano_Leg-A_Ma_Ho_Vie_Longin.decolumnized";"13_Ano_Leg-B_Ma_Ho_Vie_Sebastien.decolumnized";"14_Ano_Leg-B_Ma_Ho_Vie_Vincent.decolumnized";"15_Ano_Leg-B_Ma_Ho_Vie_Georges.decolumnized";"16_Ano_Leg-B_Ma_Ho_Vie_Christophe.decolumnized";"17_Ano_Leg-B_Ma_Fe_Vie_Agathe.decolumnized";"18_Ano_Leg-B_Ma_Fe_Vie_Luce.decolumnized";"19_Ano_Leg-B_Ma_Fe_Vie_Agnes.decolumnized";"20_Ano_Leg-B_Ma_Fe_Vie_Felicite.decolumnized";"21_Ano_Leg-B_Ma_Fe_Vie_Christine.decolumnized";"22_Ano_Leg-B_Ma_Fe_Vie_Cecile.decolumnized";"23_Ano_Leg-B_Ma_Ho_Vie_Sixte.decolumnized";"24_Ano_Leg-B_Ma_Ho_Vie_Laurent.decolumnized";"25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte.decolumnized";"26_Ano_Leg-B_Ma_Ev_Vie_Lambert.decolumnized";"27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon.decolumnized";"28_Ano_Leg-B_Ma_Ho_Vie_Clement.decolumnized";"29_Wau_Leg-C_Co_Ev_Vie_Martin.decolumnized";"30_Wau_Leg-C_Co_Ev_Tra_Martin2.decolumnized";"31_Wau_Leg-C_Co_Ev_Dia_Martin3.decolumnized";"32_Wau_Leg-C_Co_Ev_Vie_Brice.decolumnized";"33_Wau_Leg-C_Co_Er_Vie_Gilles.decolumnized";"34_Wau_Leg-C_Co_Ev_Vie_Martial.decolumnized";"35_Wau_Leg-C_Co_Ev_Vie_Nicolas.decolumnized";"36_Wau_Leg-C_Co_Ev_Mir_Nicolas2.decolumnized";"37_Wau_Leg-C_Co_Ev_Tra_Nicolas3.decolumnized";"38_Wau_Leg-C_Co_Ev_Vie_Jerome.decolumnized";"39_Wau_Leg-C_Co_Ev_Vie_Benoit.decolumnized";"40_Wau_Leg-C_Co_Er_Vie_Alexis.decolumnized";"41_Ano_Leg-C_Vi_NA_Vie_Irene.decolumnized";"42_Ano_Leg-B_Vi_NA_Ass_NotreDame.decolumnized";"43_Ano_Leg-C_Vi_NA_Vie_Catherine.decolumnized";"44_Ano_Leg-C_Ap_NA_Vie_Andre.decolumnized";"45_Ano_Leg-C_Ap_NA_Pas_Andre2.decolumnized";"46_Ano_Leg-B_Co_NA_Pur_Patrice.decolumnized";"47_Ano_Leg-C_Co_er_Vie_PaulErmite.decolumnized";"48_Ano_Leg-C_Co_ev_Tra_Benoit2.decolumnized";"49_Ano_Leg-C_NA_NA_Vie_Maur.decolumnized";"50_Ano_Leg-C_NA_NA_Vie_Placide.decolumnized";"51_Ano_Leg-C_Ma_ho_Vie_Eustache.decolumnized";"52_Ano_Leg-C_Co_NA_Vie_Fursi.decolumnized";"53_Ano_Leg-C_Vi_NA_Vie_Marguerite.decolumnized";"54_Ano_Leg-C_Vi_NA_Vie_Pelagie.decolumnized";"55_Ano_Leg-C_Co_NA_Vie_Simeon.decolumnized";"56_Ano_Leg-C_Co_NA_Vie_Mamertin.decolumnized";"57_Ano_Leg-C_Vi_NA_Vie_Julien.decolumnized";"58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne.decolumnized";"59_Ano_Leg-C_Vi_NA_Vie_Euphrasie.decolumnized";"60_Ano_Leg-B_NA_NA_NA_Antechriste.decolumnized";"61_Ano_Leg-B_NA_NA_NA_Jugement.decolumnized";"62_Ano_Leg-N_NA_NA_NA_Index.decolumnized";"63_Ric_Leg-N_NA_NA_NA_Bestiaire.decolumnized";"64_Ano_Leg-N_NA_NA_NA_Bestiaire2.decolumnized"
"NOMcom PROrel PONfbl";288;3;1;2;0;2;17;3;3;1;0;3;3;1;4;3;2;4;0;0;3;1;3;4;0;2;5;2;2;1;34;1;31;0;14;17;5;18;17;5;17;7;6;1;3;0;9;3;4;3;3;2;4;1;0;0;0;0;1;0;0;0;0;0;4;3
"ADJqua NOMcom ADVgen";287;8;3;6;0;2;15;6;7;2;3;4;3;1;5;2;5;9;3;1;2;0;9;1;3;3;3;6;6;2;13;2;10;2;7;30;0;11;5;4;14;3;1;2;5;3;16;6;1;3;5;0;3;1;0;1;1;1;1;0;0;0;0;5;5;6
"ADVgen ADVgen VERcjg";287;9;8;5;0;9;11;3;6;1;0;3;0;0;2;0;6;6;4;0;2;0;4;6;0;3;2;2;5;0;16;4;18;0;7;19;0;15;7;2;17;2;5;4;7;2;17;12;3;0;5;2;1;1;0;0;0;0;0;3;0;1;0;0;7;13
"PRE PROdem VERcjg";287;3;6;2;1;6;9;4;7;0;1;6;1;0;1;5;2;8;3;2;7;2;5;12;0;1;2;5;4;3;24;2;17;0;4;12;3;6;6;0;14;0;2;5;25;4;5;1;1;2;3;1;3;3;0;1;2;5;0;1;0;4;2;0;12;9
"NOMcom PONfrt ADJqua";285;13;3;3;1;6;9;5;2;2;1;1;4;3;3;2;12;1;7;5;2;2;12;8;4;11;5;3;9;3;6;0;5;2;3;16;1;5;5;4;15;2;0;3;4;11;13;4;0;1;11;3;0;2;3;2;3;2;6;2;0;1;0;0;3;5
"DETndf NOMcom PROrel";284;1;0;1;0;2;20;0;3;2;0;1;3;1;4;4;3;3;3;0;1;2;2;2;2;2;3;0;3;5;13;0;14;1;7;10;0;6;9;4;21;6;1;0;4;0;15;9;4;12;7;10;5;6;4;4;3;4;8;2;7;0;0;0;10;5
"CONcoo PRE DETpos";281;9;6;10;0;8;11;2;11;0;3;3;1;3;6;3;2;9;4;4;7;4;4;4;1;5;2;8;6;0;17;0;16;0;0;18;1;8;7;1;9;3;3;2;8;4;6;9;3;0;5;2;2;0;1;1;2;3;0;5;0;2;0;1;5;1
"ADVgen VERppe PONfrt";280;3;1;2;0;0;14;3;4;0;1;2;1;0;3;9;4;11;5;5;3;2;9;6;2;1;3;1;4;0;18;1;20;0;4;10;0;12;6;6;13;2;3;0;2;1;9;2;5;7;6;2;5;2;5;1;1;4;6;3;0;4;0;0;11;10
"CONcoo NOMcom PONfrt";280;9;5;4;0;4;5;6;9;1;3;8;6;5;5;3;3;11;5;2;2;2;8;3;0;1;3;6;8;2;25;1;15;0;5;16;2;8;7;2;8;5;4;1;4;4;8;9;3;2;3;0;1;1;0;0;0;0;0;2;0;1;0;0;5;9
"PRE PROper CONcoo";279;6;5;6;0;4;20;0;4;1;1;1;2;3;5;1;1;5;2;1;5;3;9;4;0;3;4;2;14;1;8;0;10;0;2;15;0;5;5;2;9;2;1;2;8;3;24;5;3;0;7;3;3;6;6;3;9;6;5;4;1;2;0;0;4;3
"CONcoo VERcjg DETdef";278;7;3;2;0;3;9;5;9;0;0;3;3;1;1;8;1;11;2;3;4;2;4;6;1;2;0;1;6;2;10;0;2;1;5;12;3;4;11;1;5;1;6;3;15;4;6;7;4;6;8;10;7;5;4;2;7;0;8;11;0;3;2;0;2;4
"CONcoo NOMcom PRE";277;7;11;7;0;5;14;8;8;1;1;4;1;8;2;4;6;12;2;2;7;2;11;5;1;4;0;7;4;1;6;0;6;0;4;22;1;2;4;1;6;6;3;2;10;5;10;11;2;3;0;1;0;4;1;0;0;0;1;2;0;1;0;0;5;13
"VERcjg VERinf CONcoo";277;3;3;5;0;6;14;3;7;0;1;5;0;4;3;3;5;17;3;4;7;4;6;5;1;1;3;6;4;1;16;1;24;0;5;22;5;2;8;4;9;9;3;2;5;0;7;4;0;0;1;3;1;1;0;0;5;2;0;2;0;0;0;0;4;8
"PROdem CONsub PONfbl";273;5;1;1;0;0;14;5;6;1;2;4;2;1;3;10;1;7;1;2;6;3;2;6;1;3;4;10;11;1;26;0;32;3;6;17;1;12;7;3;7;3;0;1;3;4;13;4;3;0;3;2;0;1;0;0;1;0;1;0;0;0;0;0;7;0
"NOMcom PRE DETdem";272;3;3;4;2;8;8;7;10;1;1;4;4;2;1;1;2;8;2;1;2;3;6;9;3;3;2;1;4;1;11;0;13;1;5;16;0;9;5;4;23;2;1;0;11;5;10;7;5;1;4;3;0;2;4;2;4;1;4;5;0;0;0;0;4;4
"ADVgen PRE DETdef";271;4;4;2;0;2;19;7;3;0;0;3;1;2;3;4;2;7;3;1;3;0;6;3;2;2;0;6;4;1;21;0;18;3;2;16;2;5;13;3;16;11;3;2;13;2;8;5;3;1;4;3;4;0;1;1;2;2;4;1;0;1;0;0;3;4
"DETind NOMcom PRE";271;3;11;7;0;4;18;8;3;1;0;2;0;1;6;2;1;5;1;0;5;0;2;5;0;1;3;8;4;1;11;2;16;0;2;19;0;8;7;1;8;4;3;7;10;0;6;5;10;1;8;1;1;4;1;1;2;1;2;6;3;2;0;0;10;7
"PRE NOMcom ADVgen";270;7;6;5;0;1;16;1;4;1;0;3;2;0;3;5;4;4;2;0;3;1;2;4;3;3;2;3;1;2;14;1;17;1;7;12;2;10;9;3;16;5;2;2;8;0;17;9;2;6;4;0;0;2;0;3;2;0;1;4;0;1;0;0;11;11
"VERcjg CONcoo ADVgen";270;7;5;8;1;1;19;2;8;0;2;7;2;3;4;4;5;9;2;1;3;3;5;8;2;4;4;3;7;1;8;1;10;3;0;12;1;9;12;3;14;7;4;4;4;1;23;9;0;1;1;1;2;0;1;0;0;0;1;1;0;0;0;0;1;6
"ADVgen VERcjg DETpos";269;3;6;7;0;4;20;4;4;2;1;0;4;3;5;4;8;10;6;0;6;1;7;2;1;1;1;5;9;4;8;1;17;1;7;15;0;11;9;1;12;5;3;5;0;2;24;5;4;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;6;1
"NOMcom VERcjg CONsub";269;7;4;0;0;2;12;4;8;0;0;3;1;0;3;3;4;2;1;1;3;4;3;4;1;3;3;3;9;1;13;0;16;4;5;9;2;10;8;4;22;0;0;0;8;3;13;4;4;4;8;4;3;7;0;1;3;1;1;3;1;3;0;0;7;9
"CONcoo DETdef ADJqua";268;0;2;3;1;2;17;9;8;2;0;2;1;3;0;4;4;14;3;3;7;3;10;10;1;0;0;16;5;2;12;1;20;2;6;5;5;11;6;2;5;7;6;0;3;0;23;1;0;1;6;0;0;0;1;0;4;1;3;1;0;1;0;0;1;2
"PONfrt PROrel VERcjg";268;5;4;1;2;4;13;4;8;0;1;2;0;0;3;4;5;4;3;3;3;1;7;8;2;8;0;2;13;3;10;2;25;1;3;16;3;13;8;1;16;13;2;3;7;1;2;0;0;1;3;2;0;0;1;0;0;0;1;2;0;2;1;1;8;7
"VERinf PONfrt ADVgen";268;5;1;1;0;0;14;5;4;1;1;5;1;1;1;8;6;9;0;1;4;2;9;2;1;2;8;3;8;3;18;2;18;1;2;12;3;9;6;2;10;5;2;1;5;1;10;8;8;0;1;0;1;0;1;0;0;0;0;2;0;1;0;1;19;13
"ADVgen PROadv VERcjg";267;3;4;4;0;6;19;10;5;3;1;2;2;2;1;3;3;8;2;5;1;1;4;1;0;7;3;2;3;2;15;2;22;1;5;14;1;8;15;1;14;4;6;0;2;0;14;8;3;0;2;0;0;1;0;1;4;0;1;3;0;1;0;0;6;6
"NOMcom NOMcom PONfrt";267;7;9;4;1;7;23;5;8;2;2;5;1;1;6;3;5;10;3;3;3;4;5;5;0;1;0;5;2;4;6;0;5;2;3;7;0;3;2;1;4;1;1;2;11;0;15;10;4;4;7;1;1;1;1;0;2;2;2;9;4;2;0;1;11;8
"DETdef NOMcom NOMcom";266;4;9;8;1;5;18;11;19;0;1;9;0;1;4;6;1;5;0;2;3;4;4;10;2;0;2;3;1;1;6;0;7;0;2;14;1;6;3;0;2;1;4;6;16;2;11;2;7;2;4;1;2;1;2;1;2;1;0;6;3;1;0;0;10;6
"PRE DETpos ADJqua";266;0;5;2;0;6;14;9;6;1;0;4;3;0;2;3;6;12;3;2;4;2;9;4;1;2;1;15;4;0;16;0;6;0;5;37;2;8;9;0;9;2;2;1;2;1;8;2;3;0;6;4;0;1;0;2;3;0;2;3;1;0;0;0;3;8
"VERcjg PROper PRE";266;5;3;9;0;6;15;2;5;2;2;4;0;1;1;4;2;15;5;1;3;0;5;3;3;3;2;6;8;1;20;1;19;1;6;13;5;6;7;2;11;5;1;3;7;3;9;5;2;1;2;0;1;1;0;1;1;1;1;5;1;0;0;0;6;3
"VERinf PRE DETpos";266;5;6;5;0;3;14;7;2;1;1;1;2;1;3;3;1;11;7;6;5;0;8;4;0;3;3;5;2;1;13;0;17;1;4;13;1;12;10;2;8;6;1;5;6;1;10;7;2;1;5;2;3;2;1;1;1;1;2;1;0;2;0;0;5;10
"DETndf NOMcom PRE";263;2;2;6;0;4;16;4;2;0;1;2;0;1;0;3;4;6;1;1;2;0;4;1;0;1;3;3;2;2;18;0;15;0;6;8;1;6;12;3;15;6;6;3;3;0;5;10;9;2;6;4;3;4;2;3;7;0;4;9;4;0;0;0;11;5
"PROadv VERcjg PONfrt";263;3;2;1;0;0;14;12;9;0;0;2;1;3;1;3;3;6;1;2;2;2;2;7;0;2;2;2;3;5;8;0;29;3;6;9;4;8;5;1;7;7;3;0;3;2;10;14;3;4;7;4;1;2;0;0;5;2;5;3;2;0;0;0;11;5
"DETdef NOMcom VERppe";262;5;8;0;0;4;20;2;7;0;2;5;1;1;1;1;1;8;1;2;0;0;4;1;1;4;2;5;11;2;16;0;19;0;6;12;1;8;12;2;10;4;2;5;10;2;10;9;4;2;4;2;2;0;2;0;1;2;0;4;1;2;0;0;6;3
"NOMcom PROrel PRE";262;2;4;5;0;3;20;8;2;0;1;7;1;1;3;6;4;3;2;3;1;0;9;2;0;2;2;5;7;1;25;0;15;1;7;12;2;13;10;2;14;3;1;3;8;1;6;0;3;1;5;2;0;0;1;0;0;2;1;1;0;0;0;0;11;8
"PONfrt PROper PROper";261;6;5;1;1;0;12;3;7;0;0;2;1;3;3;1;5;5;4;1;7;0;5;7;5;5;2;3;4;2;4;0;16;2;0;14;1;8;4;0;13;2;7;4;1;0;9;15;3;3;5;3;8;1;2;4;4;1;8;9;1;1;1;1;4;2
"CONcoo NOMcom CONcoo";260;8;13;8;0;4;5;13;14;1;0;6;1;5;3;4;7;14;4;0;4;2;3;7;2;2;2;4;3;0;8;0;13;1;1;24;2;5;3;3;4;4;6;0;4;3;4;9;2;2;1;2;0;2;1;2;4;1;0;2;0;1;0;0;4;3
"CONcoo VERppe PRE";260;1;3;4;0;3;13;10;4;2;1;4;0;2;5;7;3;6;4;4;5;2;9;4;1;5;4;10;4;0;10;1;11;3;4;16;1;13;13;1;10;3;3;3;17;3;6;1;1;1;3;2;0;0;4;2;1;0;1;3;0;0;0;0;1;2
"ADVgen PRE PROper";259;0;1;4;0;1;7;3;4;0;0;4;0;0;3;1;1;8;0;1;2;2;9;7;2;3;0;5;6;0;17;0;22;1;7;42;1;16;5;5;12;6;2;1;5;3;6;1;2;0;2;1;3;2;3;0;2;0;3;3;1;1;0;0;8;2
"DETdef NOMcom CONsub";259;7;6;2;0;3;17;5;6;0;2;9;0;1;0;5;6;8;4;2;3;0;4;7;0;3;0;7;4;2;12;0;12;4;3;10;2;11;4;4;9;6;1;2;7;3;11;5;3;1;0;0;0;3;4;0;1;1;2;2;1;2;0;0;10;10
"CONcoo ADVgen ADVgen";258;3;2;7;0;0;17;3;7;1;1;5;0;0;1;2;4;2;3;0;4;0;2;1;0;3;3;2;5;2;16;2;12;0;2;20;1;16;8;4;13;0;3;1;6;0;12;15;4;2;5;5;0;1;0;0;6;1;3;4;0;1;0;0;8;7
"VERcjg PONfbl CONcoo";258;5;2;2;0;6;6;2;1;0;0;1;0;1;1;2;1;1;3;1;3;0;3;6;1;0;1;2;5;0;28;1;26;1;8;16;4;14;5;1;14;3;5;4;20;8;6;2;2;1;7;3;4;0;2;1;1;1;1;2;1;1;0;0;5;4
"VERcjg PRE DETdem";257;3;0;3;0;4;13;7;10;3;1;8;2;1;0;1;3;2;0;1;2;0;5;5;0;0;0;3;4;0;8;2;11;0;3;19;2;9;7;6;12;1;4;2;5;1;13;13;4;2;11;3;4;2;1;2;1;1;4;7;5;0;1;0;1;9
"CONcoo ADVneg VERcjg";252;3;4;0;1;3;7;6;9;0;0;5;0;0;1;3;3;13;4;1;3;1;8;5;2;0;0;5;2;0;15;2;23;0;4;18;2;5;4;2;15;5;1;0;4;4;6;3;2;2;1;3;1;2;4;1;4;4;2;9;2;1;0;0;8;4
"ADVgen ADJqua PONfrt";251;1;1;1;1;5;10;4;7;1;0;4;1;2;5;5;4;11;4;0;3;2;7;3;1;5;3;1;2;6;10;1;23;0;5;7;1;9;3;1;6;4;5;4;5;0;11;7;1;3;9;1;8;1;1;1;3;1;1;5;1;2;2;0;6;3
"NOMpro PROper VERcjg";251;5;4;2;1;10;7;2;4;0;1;3;1;4;5;2;4;1;0;1;0;0;2;16;3;14;7;1;26;0;11;0;11;0;2;12;5;5;6;2;1;2;5;2;0;9;21;5;1;0;4;0;0;1;2;0;4;0;3;6;0;0;0;0;1;4
"ADJqua CONcoo ADJqua";250;3;4;4;0;6;5;8;8;2;2;4;1;3;2;4;2;10;9;1;7;0;3;7;2;0;1;6;5;1;15;1;12;0;4;14;1;17;7;3;7;5;5;0;7;4;7;7;4;2;1;1;0;3;1;1;1;2;1;1;0;2;0;0;2;2
"DETpos NOMcom PROper";250;4;6;6;0;3;29;5;2;1;0;1;3;2;5;2;3;6;1;2;1;1;6;1;0;1;0;4;4;3;11;0;9;0;2;14;1;9;7;2;12;5;3;6;2;3;16;4;2;1;9;1;6;1;0;3;3;2;1;0;2;1;2;0;5;3
"VERcjg PONfrt PRE";249;9;5;0;0;3;13;9;4;0;0;10;1;5;5;6;3;12;8;2;3;0;3;9;2;4;1;5;6;3;6;1;12;0;5;9;1;4;7;0;12;3;0;2;4;0;5;1;2;2;3;0;4;4;0;1;0;1;0;3;1;1;1;0;8;15
"VERcjg ADVgen VERinf";248;2;5;1;0;0;10;6;7;1;0;6;0;2;0;6;1;6;3;6;3;0;3;3;1;1;2;0;8;2;17;1;16;2;2;7;4;10;4;0;5;2;4;1;10;2;6;13;3;3;7;2;3;2;0;2;0;0;1;2;0;1;0;0;19;12
"ADVgen ADVgen PONfrt";246;3;2;2;0;2;9;6;6;1;2;3;2;0;2;3;1;10;6;0;5;1;2;7;0;3;3;7;4;0;10;1;15;0;4;6;0;5;16;3;10;2;2;0;1;0;5;20;2;1;10;8;1;1;0;2;4;4;6;4;1;0;0;0;7;3
"NOMcom ADVgen PROper";245;8;1;6;0;4;27;5;4;0;0;2;3;1;2;3;2;1;2;1;1;0;8;0;0;1;2;6;5;3;7;0;14;0;2;16;2;5;9;9;14;5;6;3;1;0;30;3;1;1;1;0;0;1;0;2;0;1;0;0;0;0;0;0;8;6
"PRE VERinf DETdef";245;6;4;5;0;7;9;7;5;1;1;5;2;2;3;6;1;5;2;1;4;2;5;6;3;1;1;4;4;0;15;1;15;0;1;14;1;6;9;1;9;6;2;2;14;2;12;2;5;2;3;1;1;0;1;1;1;2;4;7;0;0;0;0;2;1
"PONfrt CONcoo ADJqua";242;13;8;6;0;5;4;1;4;0;1;3;2;1;3;7;8;5;8;1;4;1;3;6;5;6;3;4;3;7;10;0;9;3;1;9;1;2;3;1;12;1;2;5;5;1;9;6;4;1;5;3;1;0;0;0;1;3;3;0;0;0;0;7;6;6
"PRE NOMcom ADJqua";242;7;8;12;0;8;19;8;4;1;0;2;0;0;1;2;2;8;1;2;1;1;9;2;2;1;3;1;3;1;8;0;4;1;6;13;0;6;3;0;3;3;2;4;20;4;6;9;1;4;8;3;1;0;0;2;3;2;0;3;0;1;0;3;5;5
"VERppe PRE.DETdef NOMcom";242;8;4;9;0;3;12;6;5;1;0;2;2;3;2;6;1;6;1;2;4;1;3;7;2;3;0;3;7;1;13;0;13;0;3;12;1;11;5;0;6;4;3;4;10;2;10;5;2;1;2;3;2;3;2;0;2;0;4;1;1;2;0;0;7;4
"PRE ADVgen ADJqua";241;1;4;1;0;1;11;7;3;1;0;0;0;2;3;5;1;3;4;3;4;1;3;7;0;1;1;11;5;0;16;0;16;3;9;6;4;13;16;0;7;3;1;10;9;1;10;5;3;2;3;1;0;3;0;2;2;1;0;3;0;2;0;0;3;4
"VERinf CONcoo PRE";241;3;0;1;0;1;7;4;1;0;2;4;3;3;2;5;7;5;2;2;4;0;8;7;2;2;5;10;5;1;21;1;23;2;7;14;2;6;5;1;21;1;2;3;6;1;10;4;0;0;2;0;1;0;0;0;2;0;1;2;0;1;0;0;6;0
"VERinf DETpos NOMcom";240;6;4;1;0;5;17;1;4;1;2;3;2;3;0;5;5;9;1;1;1;1;5;2;5;0;0;4;2;0;9;1;12;0;8;8;3;8;8;1;18;3;4;1;6;2;6;4;0;4;6;4;1;2;1;2;5;1;3;3;1;0;0;0;6;9
"ADVneg VERcjg PRE";239;5;3;2;0;5;6;3;3;0;2;6;0;1;2;5;6;6;2;0;6;0;5;8;1;3;0;5;4;2;11;0;18;2;3;12;0;4;7;1;9;2;0;5;7;5;13;5;3;0;3;0;3;2;0;0;2;0;3;7;0;2;0;0;9;10
"DETind NOMcom VERcjg";239;2;3;1;0;8;11;9;6;1;0;1;0;1;4;3;3;8;1;0;1;0;5;4;1;3;1;5;2;0;13;0;14;1;3;10;3;7;5;2;12;3;3;2;4;4;2;8;4;1;4;2;1;2;0;2;3;2;2;5;1;2;0;0;18;10
"VERcjg ADVgen CONcoo";239;2;4;5;0;3;7;2;4;1;0;3;1;3;2;4;3;4;2;2;2;0;8;8;0;3;1;3;7;3;8;0;18;3;2;6;1;5;4;2;14;4;0;1;8;1;9;8;2;4;4;0;6;2;0;1;5;2;7;6;5;4;0;0;7;3
"VERcjg ADVgen NOMcom";239;5;4;6;0;8;17;4;2;0;0;3;2;1;3;1;1;9;5;3;3;0;5;6;0;2;1;1;5;2;9;0;16;1;3;11;0;11;4;2;5;3;2;1;4;2;2;7;5;3;8;3;0;0;1;2;3;2;4;8;1;0;0;0;4;13
"PONfrt CONcoo DETpos";238;5;3;2;1;3;15;4;10;0;1;5;1;3;7;6;7;13;4;1;9;1;6;10;3;3;0;6;7;0;9;0;9;0;1;8;1;7;2;2;3;5;2;5;3;3;7;3;2;2;4;0;1;0;4;1;1;0;4;1;3;1;0;0;7;1
"ADVgen DETdef NOMcom";237;3;7;6;0;7;12;4;2;0;1;0;3;6;1;4;1;6;0;1;2;0;2;3;1;3;0;7;3;3;10;0;14;0;2;9;1;11;4;3;14;2;3;3;6;1;16;7;3;2;4;1;1;1;0;4;3;1;1;1;1;5;0;0;8;7
"NOMcom PROrel DETdef";237;0;1;1;0;5;10;5;6;1;3;4;0;1;4;2;3;3;1;0;2;2;3;1;0;1;3;6;4;0;21;2;9;3;4;11;3;12;5;3;18;3;5;1;5;3;15;5;2;3;6;0;1;1;0;0;1;1;4;5;0;0;0;0;8;5
"PROadv VERcjg VERppe";237;3;2;1;0;3;13;2;8;1;1;6;0;3;1;5;5;3;1;1;3;0;6;2;1;4;1;4;5;1;15;0;19;0;6;10;0;11;15;1;16;2;4;1;1;1;4;8;4;2;7;3;3;2;0;1;3;2;1;2;0;0;0;0;2;5
"VERcjg DETdem NOMcom";237;2;1;0;0;0;10;5;9;0;0;3;3;0;1;4;2;4;3;1;2;1;6;3;0;1;0;3;2;1;14;0;14;0;2;15;2;18;11;2;14;2;2;5;11;2;13;3;1;4;6;0;0;0;2;0;3;0;1;2;0;4;0;0;6;11
"DETpos NOMcom NOMpro";235;4;4;4;0;5;8;7;5;6;4;5;4;7;4;3;3;10;3;6;7;4;11;2;7;9;4;6;13;0;6;0;1;0;4;10;1;4;1;0;3;1;5;7;1;2;18;1;2;0;1;0;2;0;1;0;0;0;2;2;1;2;0;0;0;2
"CONcoo PRE ADJqua";233;6;10;4;0;3;9;6;5;0;0;1;1;1;2;7;2;8;2;0;2;2;6;7;0;5;3;5;2;0;20;2;10;6;5;9;4;11;9;1;6;6;1;3;7;1;2;6;0;1;9;1;0;1;1;2;2;0;1;3;0;0;0;1;0;3
"CONcoo VERcjg NOMcom";233;5;5;4;0;5;13;2;7;0;3;2;1;3;2;1;2;7;0;3;2;1;7;3;3;2;3;1;3;4;8;0;8;1;3;8;0;5;4;1;1;4;4;2;7;4;15;2;3;4;6;5;5;0;4;3;3;3;4;7;2;2;0;0;3;8
"NOMcom PONfbl VERcjg";233;12;5;9;1;6;16;8;10;0;0;3;2;1;0;2;6;7;5;3;5;2;10;2;2;2;3;6;5;2;7;0;15;0;1;5;5;7;3;1;8;0;0;1;10;3;6;2;3;0;2;1;1;0;0;0;2;2;1;1;0;1;0;0;4;6
"PRE.DETdef NOMcom PONfbl";233;16;3;4;0;4;14;5;4;1;0;0;0;1;0;2;1;3;0;3;3;1;2;1;0;1;1;3;3;2;14;0;19;0;4;16;2;7;10;0;5;1;2;11;20;7;4;3;2;0;5;3;0;0;2;0;1;1;2;2;1;1;0;0;5;5
"NOMcom ADVgen ADVgen";232;1;1;3;0;3;11;4;5;0;1;2;1;1;2;5;2;9;4;1;3;2;2;6;0;3;1;4;5;1;11;1;13;1;4;14;0;12;13;4;13;4;2;0;4;0;5;11;4;3;6;1;0;1;1;1;1;2;2;3;0;1;0;0;5;6
"VERcjg PRE PROdem";232;6;5;6;0;3;8;2;3;0;0;0;2;1;3;2;2;5;2;1;3;0;5;3;2;3;1;1;3;2;10;0;19;0;1;8;0;8;7;0;10;2;1;4;7;4;17;3;2;6;6;1;6;1;1;3;1;2;4;9;1;1;2;0;5;6
"CONsub DETdef ADJqua";231;1;0;0;0;1;16;2;10;0;1;6;2;2;2;2;1;2;2;2;4;0;8;3;1;2;2;10;2;0;20;1;23;1;11;10;4;8;6;0;27;1;0;0;5;0;7;1;2;2;5;0;0;0;2;1;0;1;1;2;0;1;0;0;2;3
"VERppe DETdef NOMcom";231;11;11;2;0;6;4;2;5;3;0;1;1;2;3;5;1;4;2;2;2;1;2;4;2;8;0;2;7;2;12;2;16;1;6;9;1;6;8;5;2;1;0;4;7;3;10;7;2;3;7;1;1;1;2;0;2;1;2;7;0;0;0;0;4;3
"DETind DETpos NOMcom";230;1;2;0;1;1;16;3;4;1;0;4;2;1;9;5;4;5;4;0;8;1;9;3;1;2;5;12;6;0;10;0;7;0;4;16;4;6;3;2;5;6;6;2;0;1;8;3;2;3;6;4;2;1;1;4;2;0;5;3;0;1;0;0;3;0
"PONfrt PROdem VERcjg";230;3;5;3;0;1;15;0;4;0;2;5;0;1;3;7;1;7;2;1;1;1;5;6;1;2;3;5;6;0;14;0;19;0;4;14;2;6;4;3;12;5;1;1;10;1;7;2;1;2;3;4;0;0;0;0;3;1;0;1;3;3;3;0;5;6
"NOMcom VERinf PONfrt";229;6;3;0;0;0;5;7;8;0;0;3;0;3;1;5;7;12;2;1;2;0;3;2;1;0;4;2;2;1;12;1;16;1;3;6;3;10;4;2;12;2;1;0;3;2;7;9;11;0;0;1;0;2;0;1;1;0;0;3;0;1;0;2;23;10
