pos;F;61_Ano_Leg-B_NA_NA_NA_Jugement;05_y_Leg-_A_Ap__tr_Vie;02_Ano_Leg-A_Ap_NA_Pas_Paul;54_Ano_Leg-C_Vi_NA_Vie_Pelagie;60_Ano_Leg-B_NA_NA_NA_Antechriste;14_Ano_Leg-B_Ma_Ho_Vie_Vincent;42_Ano_Leg-B_Vi_NA_Ass_NotreDame;29_Wau_Leg-C_Co_Ev_Vie_Martin;58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne;52_Ano_Leg-C_Co_NA_Vie_Fursi;04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev;01_Ano_Leg-A_Ap_NA_Vie_Pierre2;11_Ano_Leg-A_Ap_NA_Vie_Marc;38_Wau_Leg-C_Co_Ev_Vie_Jerome;00_Ano_Leg-A_Ap_Ev_Dis_Pierre1;49_Ano_Leg-C_NA_NA_Vie_Maur;41_Ano_Leg-C_Vi_NA_Vie_Irene;30_Wau_Leg-C_Co_Ev_Tra_Martin2;08_Ano_Leg-A_Ap_NA_Vie_Philippe;63_Ric_Leg-N_NA_NA_NA_Bestiaire;56_Ano_Leg-C_Co_NA_Vie_Mamertin;21_Ano_Leg-B_Ma_Fe_Vie_Christine;35_Wau_Leg-C_Co_Ev_Vie_Nicolas;07_Ano_Leg-A_Ap_NA_Vie_SimonJude;53_Ano_Leg-C_Vi_NA_Vie_Marguerite;33_Wau_Leg-C_Co_Er_Vie_Gilles;03_Ano_Leg-A_Ap_NA_Mar_Jean;13_Ano_Leg-B_Ma_Ho_Vie_Sebastien;31_Wau_Leg-C_Co_Ev_Dia_Martin3;27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon;34_Wau_Leg-C_Co_Ev_Vie_Martial;23_Ano_Leg-B_Ma_Ho_Vie_Sixte;44_Ano_Leg-C_Ap_NA_Vie_Andre;10_Ano_Leg-A_Ap_NA_Vie_Barthelemy;22_Ano_Leg-B_Ma_Fe_Vie_Cecile;26_Ano_Leg-B_Ma_Ev_Vie_Lambert;09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur;47_Ano_Leg-C_Co_er_Vie_PaulErmite;17_Ano_Leg-B_Ma_Fe_Vie_Agathe;37_Wau_Leg-C_Co_Ev_Tra_Nicolas3;15_Ano_Leg-B_Ma_Ho_Vie_Georges;18_Ano_Leg-B_Ma_Fe_Vie_Luce;48_Ano_Leg-C_Co_ev_Tra_Benoit2;45_Ano_Leg-C_Ap_NA_Pas_Andre2;28_Ano_Leg-B_Ma_Ho_Vie_Clement;64_Ano_Leg-N_NA_NA_NA_Bestiaire2;20_Ano_Leg-B_Ma_Fe_Vie_Felicite;59_Ano_Leg-C_Vi_NA_Vie_Euphrasie;19_Ano_Leg-B_Ma_Fe_Vie_Agnes;46_Ano_Leg-B_Co_NA_Pur_Patrice;55_Ano_Leg-C_Co_NA_Vie_Simeon;06_Ano_Leg-A_Ap_NA_Vie_Matthieu;32_Wau_Leg-C_Co_Ev_Vie_Brice;16_Ano_Leg-B_Ma_Ho_Vie_Christophe;40_Wau_Leg-C_Co_Er_Vie_Alexis;51_Ano_Leg-C_Ma_ho_Vie_Eustache;24_Ano_Leg-B_Ma_Ho_Vie_Laurent;57_Ano_Leg-C_Vi_NA_Vie_Julien;12_Ano_Leg-A_Ma_Ho_Vie_Longin;43_Ano_Leg-C_Vi_NA_Vie_Catherine;50_Ano_Leg-C_NA_NA_Vie_Placide;25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte;39_Wau_Leg-C_Co_Ev_Vie_Benoit;62_Ano_Leg-N_NA_NA_NA_Index;36_Wau_Leg-C_Co_Ev_Mir_Nicolas2
PONfbl PROper DETcar;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROper DETcar PROadv;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DETcar PROadv VERcjg;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
ADVneg ADVgen VERinf;15;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
ADJqua NOMcom PROcar;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOMcom PROcar PROper;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROcar PROper VERcjg;5;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADVneg ADVgen ADVgen;41;0;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7;1;1;0;0;0;0;1;1;1;1;5;0;0;1;0;0;2;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;6
NOMpro PROrel ADJqua;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1
PROrel ADJqua NOMpro;33;0;0;0;0;0;1;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;6;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4
PONfrt DETind ADJpos;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DETind ADJpos ADJqua;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADJpos ADJqua ADVneg;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONsub PONfrt PRE;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VERinf VERcjg CONsub;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
VERinf PONfbl PRE;28;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;3;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;3;2;0;2;0;0;1;0;1;0;0;2;0;0;0;0;2
VERinf VERcjg PROper;17;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
PRE NOMcom PROdem;39;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;1;0;0;1;1;3;0;1;1;0;0;2;0;2;0;0;1;1;0;0;0;3;0;0;3;0;3
NOMcom PRE.DETdef ADJord;11;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PRE.DETdef ADJord NOMcom;73;0;0;0;0;0;1;1;2;0;2;1;2;2;0;4;0;3;2;2;0;0;1;0;3;0;1;0;0;6;0;5;0;1;1;0;0;1;0;0;2;0;0;1;4;0;1;0;1;0;0;2;2;0;1;1;1;2;1;1;1;1;2;8;0;0
ADJord NOMcom PROrel;13;0;0;0;0;0;1;0;1;0;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
VERppe ADVgen CONsub.PROper;6;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CONsub.PROper VERcjg VERppe;35;0;0;0;0;0;1;0;2;0;3;0;0;0;1;0;1;1;0;0;1;0;2;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;2;1;0;0;1;0;0;0;0;0;3;1;0;0;1;1;0;0;1;0;1;0;2;2;0;0
PROrel DETdef PRE;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
DETdef PRE VERppe;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
PRE VERppe ADJqua;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
VERppe ADJqua VERcjg;8;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
PROper NOMcom PRE.DETdef;14;0;0;0;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PROdem ADJind CONsub;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADJqua NOMcom PROdem;23;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;2;0;0
NOMcom PROcar PROrel;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROcar PROrel PROper;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERcjg DETdef ADJpos;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
PROper PONfbl ADJqua;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PONfbl ADJqua VERcjg;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
PROrel ADVgen VERinf;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
ADVgen VERinf ADJqua;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
PONfbl PROper CONcoo;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROper CONcoo VERppe;17;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0
PRE PROdem PROint;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
PROdem PROint VERcjg;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
PRE PRE.DETdef DETind;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRE.DETdef DETind DETdef;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADJind NOMcom PONfrt;72;0;0;0;0;0;2;0;2;1;0;0;0;0;1;0;0;2;0;0;7;0;2;1;0;0;0;0;1;5;5;3;1;0;2;0;2;0;1;1;2;1;1;1;5;1;1;0;3;1;2;1;1;0;1;0;1;1;0;0;5;2;2;0;0;1
PONfrt VERcjg PROint;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERcjg PROint NOMcom;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PONfbl CONcoo PROint;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOMcom PONfbl ADJqua;49;0;0;0;0;0;1;1;0;0;0;2;2;0;0;7;1;1;0;0;0;0;0;0;1;0;0;0;0;3;2;2;0;0;0;1;1;0;1;3;0;2;3;0;0;0;0;0;0;1;1;0;1;1;1;2;0;0;1;1;0;1;0;2;0;3
VERcjg PROper PROdem;25;0;0;0;0;0;1;0;0;3;0;0;1;0;1;1;0;0;0;0;0;0;3;0;1;1;0;0;0;2;0;0;0;1;1;2;0;0;1;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PROper PROdem PROrel;16;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0
CONsub DETind DETpos;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADVneg ADVgen PRE;16;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
PRE DETpos VERinf;11;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
NOMcom PROadv PROint;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROadv PROint VERcjg;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROrel PRE PROind;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PRE PROind VERcjg;17;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
