"lemma";"F";"00_Ano_Leg-A_Ap_Ev_Dis_Pierre1.decolumnized";"01_Ano_Leg-A_Ap_NA_Vie_Pierre2.decolumnized";"02_Ano_Leg-A_Ap_NA_Pas_Paul.decolumnized";"03_Ano_Leg-A_Ap_NA_Mar_Jean.decolumnized";"04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev.decolumnized";"05_Ano_Leg-A_Ap_NA_Vie_Jacques.decolumnized";"06_Ano_Leg-A_Ap_NA_Vie_Matthieu.decolumnized";"07_Ano_Leg-A_Ap_NA_Vie_SimonJude.decolumnized";"08_Ano_Leg-A_Ap_NA_Vie_Philippe.decolumnized";"09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur.decolumnized";"10_Ano_Leg-A_Ap_NA_Vie_Barthelemy.decolumnized";"11_Ano_Leg-A_Ap_NA_Vie_Marc.decolumnized";"12_Ano_Leg-A_Ma_Ho_Vie_Longin.decolumnized";"13_Ano_Leg-B_Ma_Ho_Vie_Sebastien.decolumnized";"14_Ano_Leg-B_Ma_Ho_Vie_Vincent.decolumnized";"15_Ano_Leg-B_Ma_Ho_Vie_Georges.decolumnized";"16_Ano_Leg-B_Ma_Ho_Vie_Christophe.decolumnized";"17_Ano_Leg-B_Ma_Fe_Vie_Agathe.decolumnized";"18_Ano_Leg-B_Ma_Fe_Vie_Luce.decolumnized";"19_Ano_Leg-B_Ma_Fe_Vie_Agnes.decolumnized";"20_Ano_Leg-B_Ma_Fe_Vie_Felicite.decolumnized";"21_Ano_Leg-B_Ma_Fe_Vie_Christine.decolumnized";"22_Ano_Leg-B_Ma_Fe_Vie_Cecile.decolumnized";"23_Ano_Leg-B_Ma_Ho_Vie_Sixte.decolumnized";"24_Ano_Leg-B_Ma_Ho_Vie_Laurent.decolumnized";"25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte.decolumnized";"26_Ano_Leg-B_Ma_Ev_Vie_Lambert.decolumnized";"27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon.decolumnized";"28_Ano_Leg-B_Ma_Ho_Vie_Clement.decolumnized";"29_Wau_Leg-C_Co_Ev_Vie_Martin.decolumnized";"30_Wau_Leg-C_Co_Ev_Tra_Martin2.decolumnized";"31_Wau_Leg-C_Co_Ev_Dia_Martin3.decolumnized";"32_Wau_Leg-C_Co_Ev_Vie_Brice.decolumnized";"33_Wau_Leg-C_Co_Er_Vie_Gilles.decolumnized";"34_Wau_Leg-C_Co_Ev_Vie_Martial.decolumnized";"35_Wau_Leg-C_Co_Ev_Vie_Nicolas.decolumnized";"36_Wau_Leg-C_Co_Ev_Mir_Nicolas2.decolumnized";"37_Wau_Leg-C_Co_Ev_Tra_Nicolas3.decolumnized";"38_Wau_Leg-C_Co_Ev_Vie_Jerome.decolumnized";"39_Wau_Leg-C_Co_Ev_Vie_Benoit.decolumnized";"40_Wau_Leg-C_Co_Er_Vie_Alexis.decolumnized";"41_Ano_Leg-C_Vi_NA_Vie_Irene.decolumnized";"42_Ano_Leg-B_Vi_NA_Ass_NotreDame.decolumnized";"43_Ano_Leg-C_Vi_NA_Vie_Catherine.decolumnized";"44_Ano_Leg-C_Ap_NA_Vie_Andre.decolumnized";"45_Ano_Leg-C_Ap_NA_Pas_Andre2.decolumnized";"46_Ano_Leg-B_Co_NA_Pur_Patrice.decolumnized";"47_Ano_Leg-C_Co_er_Vie_PaulErmite.decolumnized";"48_Ano_Leg-C_Co_ev_Tra_Benoit2.decolumnized";"49_Ano_Leg-C_NA_NA_Vie_Maur.decolumnized";"50_Ano_Leg-C_NA_NA_Vie_Placide.decolumnized";"51_Ano_Leg-C_Ma_ho_Vie_Eustache.decolumnized";"52_Ano_Leg-C_Co_NA_Vie_Fursi.decolumnized";"53_Ano_Leg-C_Vi_NA_Vie_Marguerite.decolumnized";"54_Ano_Leg-C_Vi_NA_Vie_Pelagie.decolumnized";"55_Ano_Leg-C_Co_NA_Vie_Simeon.decolumnized";"56_Ano_Leg-C_Co_NA_Vie_Mamertin.decolumnized";"57_Ano_Leg-C_Vi_NA_Vie_Julien.decolumnized";"58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne.decolumnized";"59_Ano_Leg-C_Vi_NA_Vie_Euphrasie.decolumnized";"60_Ano_Leg-B_NA_NA_NA_Antechriste.decolumnized";"61_Ano_Leg-B_NA_NA_NA_Jugement.decolumnized";"62_Ano_Leg-N_NA_NA_NA_Index.decolumnized";"63_Ric_Leg-N_NA_NA_NA_Bestiaire.decolumnized";"64_Ano_Leg-N_NA_NA_NA_Bestiaire2.decolumnized"
"demain";38;2;0;1;0;0;2;0;2;0;0;2;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;2;0;1;0;0;3;1;1;1;2;0;2;0;0;0;0;0;1;0;0;1;0;0;1;2;1;0;0;0;2;0
"devin1";38;1;1;2;0;0;2;0;0;0;0;0;0;1;0;3;1;3;0;0;1;1;0;0;0;1;0;1;0;0;2;0;3;0;1;3;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;3;0;2;0;0;0;0
"ëage";38;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;3;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0;2;0;1;1;1;2;0;0;1;0;1;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"espöenter";38;0;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;2;2;2;0;1;1;0;4;1;2;4;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0
"ofrir";38;2;0;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;4;3;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;4;0;4;0;1;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"parent";38;1;0;1;0;1;2;0;5;0;0;0;0;0;2;0;1;0;1;0;1;0;0;1;0;0;0;1;2;0;1;0;0;0;0;3;0;0;2;0;0;0;1;0;0;0;5;0;0;0;1;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0
"pere1";38;3;0;0;0;0;2;4;0;0;1;0;0;0;1;0;1;0;0;0;3;0;4;0;0;0;0;1;5;0;2;0;0;1;0;0;0;0;0;1;1;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"plenté";38;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;1;0;0;4;0;0;1;3;0;4;3;0;1;1;0;0;2;0;0;3;0;1;1;0;1;0;0;0;0
"repentir";38;2;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;1;1;0;0;2;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;9;1
"salüer";38;0;2;4;0;2;5;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;1;0;0;1;2;0;0;0;2;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0
"arcevesque";37;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;5;9;0;0;1;1;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"coup1";37;2;1;0;0;1;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;1;1;5;0;0;0;0;2;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3
"durer";37;1;0;0;0;0;3;4;1;0;0;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;5;0;2;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;4
"esperance";37;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;2;0;2;0;0;1;0;1;1;0;0;1;0;1;1;0;2;0;0;0;1;0;1;0;1;1;0;0;0;2;0;0;0;0;9;1
"haitier";37;0;2;1;0;1;4;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;2;3;0;3;3;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"hors";37;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;7;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;4;4
"lautel";37;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;1;2;0;9;3;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;1;2;0;0;0;1;0;0;0;0
"lazore";37;1;1;0;0;5;10;3;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"livre2";37;1;0;0;0;0;7;0;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;1;0;1;0;1;2;0;0;0;0;0;1;1;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"mïemement";37;0;2;0;0;0;3;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;8;0;0;2;1;2;2;0;2;5;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"navrer";37;1;0;0;0;1;1;3;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;2;0;1;2;0;1;0;0;2;0;0;0;1;3;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;3;2
"rivage2";37;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;3;0;3;3;0;4;2;1;0;0;0;0;0;0;5;0;0;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"soz";37;1;1;1;0;0;4;2;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;2;0;1;0;0;0;1;1;0;0;1;1;1;4;0;0;0;0;1;0;0;4
"cinc";36;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;7;0;2;1;0;0;3;0;1;0;2;0;0;0;1;0;1;0;2;0;0;0;0;0;1;0;0;1;1;0;1;0;4;0
"dis1";36;0;1;0;0;0;2;1;1;0;0;0;0;0;1;0;5;0;0;1;0;0;1;2;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;3;0;1;0;0;1;0
"enseigne";36;1;2;0;0;3;2;0;0;1;0;2;0;0;1;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;2;2;1;1;0;0;1;2;2;1;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
"esprendre2";36;0;1;2;0;0;1;3;0;0;1;0;0;0;0;3;0;0;1;1;1;0;2;0;0;1;0;2;0;0;3;0;4;0;0;0;1;3;0;0;3;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gaire";36;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;1;0;0;0;1;0;0;1;0;0;0;1;0;0;3;2;4;0;2;1;2;0;0;3;0;1;2;1;0;0;0;0;0
"maintenir";36;0;1;0;0;1;3;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;2;3;0;2;2;0;0;0;2;1;0;1;4;0;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"mont";36;4;0;0;0;0;2;2;3;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;2;0;0;1;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0;1;1;0;3;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
"noncier1";36;1;1;4;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;1;0;1;3;1;6;1;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"salir2";36;1;1;0;0;0;4;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;3;0;0;1;1;0;1;0;3;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;2;0;0;1;0;0;0;0;2;2
"certes";35;0;0;2;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;4;0;3;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10
"decoler1";35;1;0;3;0;1;7;0;0;0;0;1;0;0;2;0;3;4;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dorm";35;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;4;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;10;0;2;1;1;0;1;3;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"durement";35;1;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;2;0;1;3;1;0;0;2;0;3;1;1;0;1;0;0;3;0;1;1;0;2;0;0;0;0;0;0;0
"esprover";35;3;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;1;0;0;1;1;0;2;0;0;0;2;0;1;1;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;3;1
"evangile";35;0;0;0;0;1;1;0;0;1;0;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;11;0;0;0;1;0;1;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"häir";35;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;1;2;0;0;1;1;1;0;0;0;1;0;0;2;0;1;0;0;2;0;1;3;2;4;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;3;0
"hille";35;0;0;0;1;1;1;0;1;0;0;0;4;1;0;1;1;5;0;1;2;3;4;3;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jëune";35;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;1;0;2;6;2;0;0;0;3;1;0;0;1;0;2;1;1;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"jöer";35;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;22
"lange";35;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;3;0;2;6;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;3;0;1;3;2;1;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"mentir";35;4;0;0;0;0;2;0;2;0;0;0;1;1;0;0;0;2;0;0;0;0;1;3;0;0;1;1;1;0;2;0;4;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1
"paroir";35;0;1;1;0;0;1;2;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4;6
"piz";35;0;0;0;0;0;0;1;1;0;0;2;0;0;1;4;0;3;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;3;0;1;4;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
"röe";35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;10;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"seror";35;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;4;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;4;0;1;1;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
"cesar";34;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;16;8;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chien";34;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;9;0;6;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3
"doloros";34;0;0;0;0;0;4;1;1;0;0;0;0;2;1;2;2;0;2;0;0;2;2;1;0;0;0;1;1;0;3;0;1;0;1;1;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"endroit";34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;1;6;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
"esteindre";34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;0;3;0;0;0;0;0;4;0;1;0;0;0;0;11;0;0;0;0;1;0;0;0;0;0;4;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"estrange";34;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;3;0;0;3;0;1;4;0;1;2;0;0;1;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1
"flambe";34;0;0;1;0;2;0;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;2;0;0;3;0;1;0;0;1;2;8;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
"icel";34;0;0;0;0;0;1;2;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;5;0;1;0;0;1;1;0;3;1;1;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
"manoir1";34;0;0;0;0;0;2;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;7;0;1;1;1;1;2;0;6;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"marcel";34;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"montaigne";34;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;3;0;0;1;0;1;0;0;8;0;0;0;0;0;1;3;2;2;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0
"mortel";34;1;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;2;1;2;1;0;2;0;1;0;0;0;1;0;3;1;2;0;0;0;0;1;0;0;3;1;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mot";34;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;2;0;2;1;1;3;0;0;0;2;0;2;1;0;4;0;0;0;0;0;0;1;0;0;1;0;0;1;0;4;2
"orrible";34;0;1;0;0;1;1;2;1;0;0;1;1;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;4;0;2;2;0;1;0;0;2;0;0;0;2;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"premierement";34;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0;1;0;3;0;3;0;1;0;1;0;2;1;2;0;0;1;0;0;0;0;0;1;0;5;0;0;0;5
"repaire";34;0;0;0;0;0;8;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;5;1;0;0;0;4;1;0;3;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"secorre1";34;0;0;0;0;0;4;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;2;0;1;0;3;4;0;5;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"vendre";34;0;0;0;0;3;2;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;1;0;1;0;3;0;4;0;0;2;2;1;2;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"verge1";34;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1;5;0;0;0;1;2;1;0;0;1;0;0;0;1;0;9;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0
"chevel";33;0;1;0;0;0;0;1;0;0;0;2;0;0;2;0;0;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;2;0;0;2;0;1;4;0;1;2;0;0;1;0;4;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1
"congié";33;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;4;0;1;3;0;3;1;0;0;0;0;0;2;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"enmener";33;1;1;0;0;0;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;2;0;1;0;2;1;0;0;0;0;1;2;0;4;0;1;0;0;0;0;1;0;1;1;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;1;0
"eslëecier";33;1;0;0;0;0;3;0;1;0;0;0;0;0;2;1;0;3;0;1;1;0;1;4;0;1;1;2;1;0;0;0;2;0;0;2;1;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"esmerveillier";33;0;0;0;0;0;3;0;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;6;0;4;0;0;0;0;1;0;0;4;1;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fait1";33;2;0;0;0;1;2;0;1;0;0;0;0;0;0;1;1;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;7;0;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;3;1
"jugier";33;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;7;0;2;0
"prisier";33;0;1;1;0;0;3;2;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;2;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;5;3
"religïos";33;5;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;0;1;5;0;2;0;1;0;0;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"senefiier";33;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4
"veillier2";33;2;3;1;0;1;7;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;2;1
"clore";32;0;0;3;0;0;2;2;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;2;0;2;0;0;1;0;0;1;0;0;2;4;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"confermer";32;0;2;0;1;0;1;4;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;4;1;1;0;1;0;2;1;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"endormir";32;0;1;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;8;2
"enoiier";32;1;0;3;0;2;1;0;0;0;1;1;0;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ermite";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"escriture";32;2;1;1;0;0;3;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;1;0;1;1;1;0;0;0;2;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1
"florir";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14;4;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0
